# Medication database
# Format: Name | Active substances (comma-separated) | Type
Tamivil | Oseltamivirum 75 mg | Leki przeciwbakteryjne i przeciwzakaźne
Procox | Emodepsidum 0.9 mg/ml + Toltrazurilum 18 mg/ml | Farmakologiczna grupa nieokreślona
Equilis StrepE | Żywy delecyjny mutant  Streptococcus equi szczep TW928 10-9,0 do 10-9,4 cfu1 | Farmakologiczna grupa nieokreślona
APAP 325 mg | Paracetamolum 325 mg | Leki działające na układ nerwowy
Novem | Meloxicamum 5 mg | Farmakologiczna grupa nieokreślona
Advocate | Moxidectinum 4 mg + Imidaclopridum 40 mg | Farmakologiczna grupa nieokreślona
MS-H Vaccine | Szczepionka przeciw Mycoplasma synoviae-szczep MS-H, żywy, atenuowany - | Farmakologiczna grupa nieokreślona
SevoFlo | Sevofluranum 100 % | Farmakologiczna grupa nieokreślona
Proteq West Nile | Antygen wirusa Zachodniego Nilu rekombinowany w wirusie canarypox (vCP2017) 6,0 do 7,8 log10CCID*50 | Farmakologiczna grupa nieokreślona
Zycortal | Desoxycortone pivalate 25 mg/ml | Farmakologiczna grupa nieokreślona
Incurin | Estriol 1 mg | Farmakologiczna grupa nieokreślona
Stepcil | Cilostazolum 100 | Leki przeciwpłytkowe
Halocur | Halofuginonum 0.5 g/ml | Farmakologiczna grupa nieokreślona
Thiafeline vet | Thiamazolum 2.5 mg | Farmakologiczna grupa nieokreślona
Zulvac 1+8 Bovis | Inaktywowany wirus choroby niebieskiego języka, serotyp 1 RP* ≥ 1 + Inaktywowany wirus choroby niebieskiego języka, serotyp 8 RP* ≥ 1 | Farmakologiczna grupa nieokreślona
Porcilis Porcoli Diluvac Forte | Szczepionka przeciw kolibakteriozie świń, inaktywowana - | Farmakologiczna grupa nieokreślona
Clomicalm | Clomipramine hydrochloridum 5 mg | Farmakologiczna grupa nieokreślona
Meloxidolor | Meloxicamum 5 mg/ml | Farmakologiczna grupa nieokreślona
Ecoporc Shiga | Genetycznie zmodyfikowany, rekombinowany antygen Stx2e ≥ 3,2 x 106 jednostek ELISA | Farmakologiczna grupa nieokreślona
Oncept IL-2 | Kocia interleukina-a rekombinowana w wirusie canarypox ≥106,0EAID*50 | Farmakologiczna grupa nieokreślona
Equilis West Nile | Inaktywowany chimeryczny flawiwirus szczep YF-WN ≥ 492 AU1 | Farmakologiczna grupa nieokreślona
Remolexam | Meloxicamum 7,5 mg | Leki układu mięśniowo‑szkieletowego
Opokan FAST | Meloxicamum 10 mg/ml | Leki układu mięśniowo‑szkieletowego
Fungitraxx | Itraconazolum 10 mg/ml | Farmakologiczna grupa nieokreślona
Equisolon | Prednisolonum 100 mg | Farmakologiczna grupa nieokreślona
AuroValsart HCT | Valsartanum 80 mg + Hydrochlorothiazidum 12,5 mg | ARB + diuretyki
Osurnia | Terbinafinum 10 mg + Florfenicolum 10 mg + Betamethasonum 1 mg | Farmakologiczna grupa nieokreślona
Clazicon | Gliclazidum 30 mg | Pochodne sulfonylomocznika
Baldivian Noc | Valerianae extractum hydroalcoholicum siccum 441,35 mg | Leki działające na układ nerwowy
Zulvac SBV | Inaktywowany wirus Schmallenberg RP* ≥ 1,0 | Farmakologiczna grupa nieokreślona
Suvaxyn CSF Marker | Żywy rekombinowany wirus wirusowej biegunki bydła z delacją genu E2zawierający podjednostkę wirusa klasycznego pomoru świń E2 (CP7_E2alf) 104,8* - 106,5 TCID**50 | Farmakologiczna grupa nieokreślona
Canigen L4 | inaktywowane szczepy Leptospira canicola (szczep Ca-12-000)   3550-7100 U^1 + Inaktywowane szczepy Leptospira icterohaemorrhagiae serowaru Copenhageni (szczep Ic-02-001)  290-1000 U^1 + Inaktywowane szczepy Leptospira interrogans serogrupy Australis serowaru Bratislava (szczep As-05-073)   500-1700 U^1 + inaktywowane szczepy Leptospira kirschneri grippotyphosa serowaru Dadas (szczep Gr-01-005)  650-1300 U^1 | Farmakologiczna grupa nieokreślona
Novaquin | Meloxicamum 15 mg/ml | Farmakologiczna grupa nieokreślona
Mitomycin Accord | Mitomycinum 10 mg | Leki przeciwnowotworowe i immunomodulujące
Clotidal | Clotrimazolum 10 mg/g | Leki układu moczowo‑płciowego i hormony płciowe
FURAGINUM SEMA | Furazidinum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Furagina APTEO MED | Furazidinum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Flutixon Neb | Fluticasoni propionas 0,5 mg/2 ml | Leki układu oddechowego
Ivohart | Ivabradini hydrochloridum 5 mg | Leki układu sercowo‑naczyniowego
Sildenafil Zentiva | Sildenafilum 20 mg | Leki układu moczowo‑płciowego i hormony płciowe
Tramadol Aurovitas | Tramadoli hydrochloridum 50 mg | Leki działające na układ nerwowy
Pikopil | Natrii picosulfas 7,5 mg | Leki przewodu pokarmowego i metaboliczne
Pemetrexed medac | Pemetrexedum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Ravicti | Glyceroli phenylbutyras 1.1 g/ml | Leki przewodu pokarmowego i metaboliczne
Ataxxa | Permetrinum 200 mg + Imidaclopridum 40 mg | Farmakologiczna grupa nieokreślona
Verrucutan | Fluorouracilum 5 mg/g + Acidum salicylicum 100 mg/g | Leki dermatologiczne
Pharmavate | Factor VIII coagulationis humanus 100 j.m./ml | Leki działające na krew i układ krwiotwórczy
Imatinib Sandoz | Imatinibum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Canephron N | Extractum compositum (1:56) ex: Levistici radice, Centauri herba, Rosmarini folio (1:1:1) 100 ml | Farmakologiczna grupa nieokreślona
Melisana Klosterfrau Original | Melissae folium 536 mg + Angelicae radix 714 mg + Zingiberis rhizoma 714 mg + Galangae rhizoma 285 mg + Gentianae radix 714 mg + Myristici semen 71 mg + Cardamomi fructus 10 mg + Cinnamomi cortex 321 mg | Farmakologiczna grupa nieokreślona
Lepsitam | Levetiracetamum 250 mg | Leki działające na układ nerwowy
Tranexamic Acid Tillomed | Acidum tranexamicum 500 mg | Leki działające na krew i układ krwiotwórczy
Bronchipret TE | Thymi herba extractum fluidum 15 g + Hederae helicis folii extractum fluidum 1.5 g | Farmakologiczna grupa nieokreślona
Krople złożone Solidaginis | Tincturae composita (1:3,5-4,5) ex: Solidaginis virgaureae herba, Calendulae flore, Cnici benedici herba, Sorbi fructu, Urticae folio (4/2/1/1/1) - | Farmakologiczna grupa nieokreślona
Imlygic | Talimogeni laherparepwecum 10^6 jednostek określających miano wirusa (PFU)/ml | Leki przeciwnowotworowe i immunomodulujące
Eptifibatide Accord | Eptifibatidum 0,75 mg/ml | Leki przeciwpłytkowe
Lopinavir/Ritonavir Viatris | Lopinavirum 100 mg + Ritonavirum 25 mg | Leki przeciwbakteryjne i przeciwzakaźne
Linefor | Pregabalinum 25 mg | Leki działające na układ nerwowy
Spectrila | Asparaginasum 10000 j. | Leki przeciwnowotworowe i immunomodulujące
Armisarte | Pemetrexedum 25 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Pemetrexed Accord | Pemetrexedum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Benepali | Etanerceptum 50 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Dinolytic Forte | Dinoprostum trometamolum 12.5 mg/1 ml | Farmakologiczna grupa nieokreślona
Septofar Mięta | Amylmetacresolum 0.6 mg + Alcohol 2,4-dichlorobenzylicus 1.2 mg | Leki układu oddechowego
Septofar Miód i Cytryna | Amylmetacresolum 0.6 mg + Alcohol 2,4-dichlorobenzylicus 1.2 mg | Leki układu oddechowego
Symex | Exemestanum 25 mg | Leki przeciwnowotworowe i immunomodulujące
Toralis | Lisinoprilum 10 mg + Torasemidum 5 mg | Leki układu sercowo‑naczyniowego
Actusept | Benzydamini hydrochloridum 1,5 mg/ml | Leki przewodu pokarmowego i metaboliczne
Tonicard | Propafenoni hydrochloridum 150 mg | Leki układu sercowo‑naczyniowego
Caspofungin Fresenius Kabi | Caspofungini acetas 55.49 mg | Leki przeciwbakteryjne i przeciwzakaźne
Kostarox | Etoricoxibum 30 mg | Leki układu mięśniowo‑szkieletowego
Avamina SR | Metformini hydrochloridum 500 mg | Biguanidy
Fluxazol | Fluconazolum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Pemetreksed SUN | Pemetrexedum dinatricum (siedmiowodny) 139.79 mg/fiolkę | Leki przeciwnowotworowe i immunomodulujące
Theraflu Total Grip | Paracetamolum 1000 mg + Phenylephrini hydrochloridum 12,2 mg + Guaifenesinum 200 mg | Leki działające na układ nerwowy
Deltanil | Deltamethrinum 10 mg/ml | Farmakologiczna grupa nieokreślona
Neoprinil Pour-On | eprynomektyna 5 mg/ml | Farmakologiczna grupa nieokreślona
Juvinelle | Estradioli valeras 1 mg + Dienogestum 2 mg | Leki układu moczowo‑płciowego i hormony płciowe
Taf Spray | Thiamphenicolum 28,5 mg/g | Farmakologiczna grupa nieokreślona
Biometrigen | Gentamicini sulfas 12.864 mg/1 ml | Farmakologiczna grupa nieokreślona
BIOXITON | Oxytocinum 10 I.U./ml | Farmakologiczna grupa nieokreślona
BIOCAN L | Leptospira interrogans (serowar icterohaemorrhagiae) 32 MAT/1 ml + Leptospira interrogans, Serogroup Canicola, serovar Canicola, Inactivated 32 MAT/1 ml + inaktywowane szczepy Leptospira kirschneri grippotyphosa 32 MAT/1 ml | Farmakologiczna grupa nieokreślona
Ezoleta | Ezetimibum 10 mg | Leki układu sercowo‑naczyniowego
Valarox | Valsartanum 80 mg + Rosuvastatinum 10 mg | Leki układu sercowo‑naczyniowego
Darunavir Sandoz | Darunavirum 600 mg | Leki przeciwbakteryjne i przeciwzakaźne
Levoftyal | Levofloxacinum 5 mg/ml | Leki okulistyczne i otologiczne
Moxinea | Moxifloxacinum 400 mg | Fluorochinolony
Tenofovir disoproxil Accord | Tenofovirum disoproxilum 245 mg | Leki przeciwbakteryjne i przeciwzakaźne
Difortan | Etofenamatum 100 mg/g | Leki układu mięśniowo‑szkieletowego
Gardlox Med smak cytrynowy | Benzydamini hydrochloridum 3 mg | Leki przewodu pokarmowego i metaboliczne
Gardlox Med smak pomarańczowo-miodowy | Benzydamini hydrochloridum 3 mg | Leki przewodu pokarmowego i metaboliczne
Ibuprofen B. Braun | Ibuprofenum 400mg/100ml | NLPZ
Fladios | Diosminum 500 mg | Leki układu sercowo‑naczyniowego
Ivabradine Aurovitas | Ivabradinum 5 mg | Leki układu sercowo‑naczyniowego
Dutrys | Dutasteridum | Leki układu moczowo‑płciowego i hormony płciowe
Oxylaxon | Oxycodoni hydrochloridum 5 mg + Naloxoni hydrochloridum 2,5 mg | Leki działające na układ nerwowy
Neoparin | Enoxaparinum natricum 20 mg | Leki działające na krew i układ krwiotwórczy
Precifit | Levodopum 5 mg + Carbidopum monohydricum 1.25 mg | Leki działające na układ nerwowy
Duloxetine +pharma | Duloxetini hydrochloridum 33.608 mg | Inne leki przeciwdepresyjne
Omeprazole APTEO MED | Omeprazolum 20 mg | IPP
Tetraxim | Toksoid błoniczy minimum 30 IU + Toksoid tężcowy minimum 40 IU + Antygeny Bordetella pertussis (toksoid krztuścowy, hemaglutynina włókienkowa) po 25 mikrogramów + Wirus poliomyelitis typ 1, szczep Mahoney (inaktywowany) 40 jednostek antygenu D + Wirus poliomyelitis typ 2, szczep MEF-1 (inaktywowany) 8 jednostek antygenu D + Wirus poliomyelitis typ 3, szczep Saukett (inaktywowany) 32 jednostek antygenu D | Leki przeciwbakteryjne i przeciwzakaźne
Napritum | Naproxenum 250 mg | NLPZ
Sudafed Spray HA Comfort Kids | Xylometazolini hydrochloridum 0,5 mg/ml | Leki układu oddechowego
Depratal | Duloxetini hydrochloridum 68.72 mg | Inne leki przeciwdepresyjne
Duexon | Salmeteroli xinafoas 36.32 mcg + Fluticasoni propionas 50 mcg | Leki układu oddechowego
Tagrisso | Osimertinibum 40 mg | Leki przeciwnowotworowe i immunomodulujące
Cyclogest | Progesteronum 400 mg | Leki układu moczowo‑płciowego i hormony płciowe
Gripex FORTE | Paracetamolum 500 mg + Pseudoephedrini hydrochloridum 30 mg + Dextromethorphani hydrobromidum 10 mg | Leki działające na układ nerwowy
Melodyn Long | Buprenorphinum 20 mg | Leki działające na układ nerwowy
Ertapenem Fresenius Kabi | Ertapenemum natricum | Leki przeciwbakteryjne i przeciwzakaźne
Abrea | Acidum acetylsalicylicum 75 mg | Leki przeciwpłytkowe
Ursoxyn | Acidum ursodeoxycholicum 250 mg | Leki przewodu pokarmowego i metaboliczne
Maxipirin | Acidum acetylsalicylicum 500 mg | Leki działające na układ nerwowy
Doksylamina Geiser | Doxylamini hydrogenosuccinas 25 mg | Leki układu oddechowego
Tadalafil Polpharma | Tadalafilum 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Tadalafil Maxigra | Tadalafilum 10 mg | Leki układu moczowo‑płciowego i hormony płciowe
AirFluSal | Salmeteroli xinafoas 25 mcg + Fluticasoni propionas | Leki układu oddechowego
Erlis | Tadalafilum 2,5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Pantoprazole Eugia | Pantoprazolum natricum sesquihydricum 45.12 mg | IPP
Apo-Napro Fast | Naproxenum natricum 220 mg | NLPZ
Linezolid Eugia | Linezolidum 2 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Medithyrox | Levothyroxinum natricum 25 mcg | Leki hormonalne
Coloclear | Natrii dihydrogenophosphas monohydricus 1102 mg + Dinatrii phosphas anhydricus 398 mg | Leki przewodu pokarmowego i metaboliczne
Ibured | Ibuprofenum 5 g | Leki układu mięśniowo‑szkieletowego
Ibured Forte | Ibuprofenum 10 | Leki układu mięśniowo‑szkieletowego
Latanoprost Horus Pharma | Latanoprostum 0,05 mg/ml | Leki okulistyczne i otologiczne
Valdispert Stres | Valerianae extractum hydroalcoholicum siccum 250 mg + Lupuli floris extractum siccum 85 mg | Leki działające na układ nerwowy
Aciclovir Hikma | Aciclovirum 250 mg | Leki przeciwbakteryjne i przeciwzakaźne
Symtiver | Cinnarizinum 20 mg + Dimenhydrinatum 40 mg | Leki działające na układ nerwowy
Tadilecto | Tadalafilum 2,5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Benzydamine neo-angin forte | Benzydamini hydrochloridum 3 mg/ml | Leki przewodu pokarmowego i metaboliczne
Benzydamine neo-angin | Benzydamini hydrochloridum 1,5 mg/ml | Leki przewodu pokarmowego i metaboliczne
Empliciti | Elotuzumabum 300 mg | Leki przeciwnowotworowe i immunomodulujące
PolaRing | Etonogestrelum 0.015 mg/ 24 h + Ethinylestradiolum 0.120 mg/ 24 h | Leki układu moczowo‑płciowego i hormony płciowe
Ginoring | Etonogestrelum 8.25 mg + Ethinylestradiolum 2.6 mg | Leki układu moczowo‑płciowego i hormony płciowe
Calfos | Calcifediolum monohydricum 0.266 mg | Leki przewodu pokarmowego i metaboliczne
Xanderla LA | Goserelini acetas 12,5 mg/implant | Leki przeciwnowotworowe i immunomodulujące
Xanderla | Goserelini acetas 4,1 mg (w postacji Goserelinum 3,6 mg) | Leki przeciwnowotworowe i immunomodulujące
Ramladio | Ramiprilum 5 mg + Amlodipinum 5 mg | Leki układu sercowo‑naczyniowego
Bonogren SR | Quetiapinum 200 mg | Atypowe leki przeciwpsychotyczne
Apenal | Paracetamolum 50 mg | Leki działające na układ nerwowy
BioEquin H | Inaktywowany herpeswirus koni, typ 1 (EHV-1) typ 1 (EHV-1) nie mniej niż 2,1 log10 VNI1 | Farmakologiczna grupa nieokreślona
Questax XR | Quetiapinum 50 mg | Atypowe leki przeciwpsychotyczne
Gardimax medica lemon spray | Chlorhexidini digluconatis solutio 1.064 g + Lidocaini hydrochloridum 0.05 g | Leki układu oddechowego
Feraccru | Ferrum (III) 30 mg | Leki działające na krew i układ krwiotwórczy
Coglapix | Actinobacillus pleuropneumoniae inaktywowany, toksoid Apx I - + Actinobacillus pleuropneumoniae inaktywowany, toksoid Apx II - + Actinobacillus pleuropneumoniae inaktywowany, toksoid Apx III - | Farmakologiczna grupa nieokreślona
Clindalin | Clindamycini phosphas 11.9 mg/g | Leki dermatologiczne
Exflow | Bromhexini hydrochloridum - | Farmakologiczna grupa nieokreślona
Poltram Combo Forte | Tramadoli hydrochloridum 75 mg + Paracetamolum 650 mg | Leki działające na układ nerwowy
Dotagraf | Acidum gadotericum | Pozostałe produkty lecznicze
Dotagraf multidose | Acidum gadotericum | Pozostałe produkty lecznicze
Chorapur | Gonadotrophinum chorionicum 1500 IU | Leki układu moczowo‑płciowego i hormony płciowe
Ginkoflav Med | Ginkgonis extractum siccum raffinatum et quantificatum 80 mg | Leki działające na układ nerwowy
Steper pro | Bifonazolum 10 mg/g | Leki dermatologiczne
Kovaltry | Octocog alfa (czynnik krzepnięcia VIII ludzki rDNA) 250 j.m. | Leki działające na krew i układ krwiotwórczy
Ezehron | Ezetimibum 10 mg | Leki układu sercowo‑naczyniowego
Auropect COMFORT | Carbocisteinum 375 mg | Leki układu oddechowego
Babyfen | Ibuprofenum | NLPZ
Remurel | Glatirameri acetas 20 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Caspofungin Adamed | Caspofunginum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Coagadex | Factor X coagulationis humanus 250 j.m. | Leki działające na krew i układ krwiotwórczy
Symbicort | Budesonidum 160 mcg/dawkę inh. + Formoteroli fumaras dihydricus 4,5 mcg/dawkę inh. | Leki układu oddechowego
AulinDol | Nimesulidum | Leki układu mięśniowo‑szkieletowego
Bosentan Sandoz GmbH | Bosentanum 125 mg | Leki układu sercowo‑naczyniowego
Silamil | Solifenacini succinas 10 mg | Leki układu moczowo‑płciowego i hormony płciowe
Apap przeziębienie junior | Paracetamolum 300 mg + Acidum ascorbicum 20 mg + Phenylephrini hydrochloridum 5 mg | Leki działające na układ nerwowy
Ibenal | Ibuprofenum 200 | NLPZ
Ibenal Forte | Ibuprofenum 400 | NLPZ
Ibenal Max | Ibuprofenum 600 | NLPZ
Valimar | Metformini hydrochloridum 500 mg | Biguanidy
Fultium-D3 | Cholecalciferolum 0,5 mg (20 000 IU) | Leki przewodu pokarmowego i metaboliczne
Bimifree | Bimatoprostum 0.3 mg/ml | Leki okulistyczne i otologiczne
Doloxib | Etoricoxibum 30 mg | Leki układu mięśniowo‑szkieletowego
11C-cholina | Choline (11C) 50 MBq/ml na dzień i godzinę odniesienia | Farmakologiczna grupa nieokreślona
Noxap | Nitrogenii oxydum 0.2 ml | Leki układu oddechowego
Axoviral | Aciclovirum 50 mg/g | Leki dermatologiczne
Tenofovir Polpharma | Tenofovirum disoproxilum 245 mg | Leki przeciwbakteryjne i przeciwzakaźne
Auroverin MR | Mebeverini hydrochloridum 200 mg | Leki przewodu pokarmowego i metaboliczne
Metamizole Kalceks | Metamizolum natricum monohydricum 500 mg/ml | Leki działające na układ nerwowy
Akis | Diclofenacum natricum 25 mg/ml | Leki układu mięśniowo‑szkieletowego
Doxylin | Doxycyclini hyclas 500 mg/g | Farmakologiczna grupa nieokreślona
Gallivac IB88 Neo | Atenuowany koronawirus zakaźnego zapalenia oskrzeli ptaków, szczep CR88121 0.72 EID50/dawkę | Farmakologiczna grupa nieokreślona
Meladine SR | Metformini hydrochloridum 500 mg | Biguanidy
Dexmedetomidine EVER Pharma | Dexmedetomidinum | Leki działające na układ nerwowy
Viavardis | Vardenafil hydrochloride trihydrate | Leki układu moczowo‑płciowego i hormony płciowe
Azithromycin Teva | Azithromycinum dihydricum | Makrolidy
Diazepam Grindeks | Diazepamum 10 mg/2 ml | Leki działające na układ nerwowy
Herdripsan | Hederae helicis folii extractum siccum 7 mg/ml | Leki układu oddechowego
Acatar Allergy | Azelastini hydrochloridum 1 mg/ml | Leki układu oddechowego
Bronchitabs | Primulae extractum 60 mg + Thymi herba 160 mg + extractum nativum 80% | Leki układu oddechowego
Briviact | Brivaracetamum 10 mg/ml | Leki działające na układ nerwowy
Adacel | Toksoid błoniczy nie mniej niż 2 j.m. (2 Lf)/0,5 ml + Toksoid tężcowy nie mniej niż 20 j.m. (5 Lf)/0,5 ml + antygeny krztuścowe (toksoid krztuścowy 2,5 mcg, hemaglutynina włókienkowa 5 mcg, pertaktyna 3 mcg, fimbrie typu 2 i 3 5 mcg)/0,5 ml | Leki przeciwbakteryjne i przeciwzakaźne
Nicorette Cool Berry | Nicotinum 1 mg/spray | Leki działające na układ nerwowy
Ertapenem Eugia | Ertapenemum natricum 1046 mg | Leki przeciwbakteryjne i przeciwzakaźne
Methofill SD | Methotrexatum 50 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Glunektik | Fludeoxyglucosum  (18F) 1 GBq/ml | Pozostałe produkty lecznicze
Sublana | Methadoni hydrochloridum 10 mg/ml | Leki działające na układ nerwowy
Eurican DAPPi-Lmulti | Atenuowany wirus nosówki szczep BA5 - + Atenuowany adenowirus psów typu 2, szczep DK13 - + Atenuowany parwowirus psów typu 2, szczep CAG2 - + Atenuowany wirus parainfluenzy psów typu 2, szczep CGF 2004/75 - + Leptospira interrogans serowar Canicola, szczep 16070, inaktywowane zawiesina + Leptospira interrogans serowar Icterohaemorrhagiae, szczep 16069, inaktywowane zawiesina + Inaktywowane bakterie Leptospira interrogans serogrupy i serowaru  Grippotyphosa, szczep Grippo Mal 1540 zawiesina | Farmakologiczna grupa nieokreślona
Paracetamol Aurovitas | Paracetamolum 500 mg | Leki działające na układ nerwowy
Paracetamol + Difenhydramina Hasco Noc | Paracetamolum 500 mg + Diphenhydramini hydrochloridum 25 mg | Leki działające na układ nerwowy
